date,Lai_500m_med,Lai_500m_mean,Lai_500m_std,Lai_500m_cnt,Lai_500m_max,Lai_500m_min
2001_02_10,6,6.4056122,0.492153,17,7,6
2001_02_18,9,8.5394249,0.6960094,17,9,7
2001_02_26,9,8.7980056,0.5703153,17,9,7
2001_03_06,9,9.5018553,0.9112902,17,12,8
2001_03_14,7,7.0482375,0.4159452,17,8,6
2001_03_22,9,9.075603,0.5823232,17,10,8
2001_03_30,10,10.7330705,0.8360394,17,12,10
2001_04_07,15,13.8784787,3.0109374,17,17,9
2001_04_15,22,23.9362245,3.8492349,17,32,19
2001_04_23,45,50.3096011,8.345896,17,68,44
2001_05_01,55,55.4436456,5.3848435,17,68,45
2001_05_09,54,55.4846939,8.7439549,17,66,31
2001_05_17,51,51.6467996,5.0423809,17,62,44
2001_05_25,52,51.8323284,3.2560829,17,56,41
2001_06_02,49,50.794295,4.9376738,17,64,45
2001_06_10,58,56.7330705,8.1851414,17,68,43
2001_07_04,55,53.4385436,12.5720071,17,67,16
2001_07_12,55,52.346243,14.9668607,17,68,16
2001_07_20,52,46.4937384,14.4118848,17,64,18
2001_07_28,18,31.0698052,25.8048304,17,70,2
2001_08_05,55,56.1456401,4.5404754,17,66,48
2001_08_13,47,46.468692,0.9036642,17,48,44
2001_08_21,51,52.2286642,5.2967314,17,67,49
2001_08_29,30,30.3824212,17.1873455,17,55,8
2001_09_06,48,47.4529221,1.1253604,17,49,44
2001_09_14,42,42.4079314,0.5998846,17,44,42
2001_09_22,44,44.2690167,0.7714634,17,47,44
2001_09_30,43,42.9276438,2.7033236,17,45,33
2001_10_08,38,34.9457328,8.1855641,17,43,18
2001_10_16,17,16.8344156,1.288759,17,19,14
2001_10_24,14,13.9403989,1.1406306,17,16,11
2001_11_01,9,9.6502783,0.6960094,17,11,8
2001_11_09,9,9.0667904,0.8724939,17,10,7
2001_11_17,8,7.8870594,0.8065476,17,9,7
2001_11_25,7,7.1479592,0.2352941,17,8,7
2001_12_03,7,6.8944805,0.545507,17,7,5
2001_12_11,6,6.2959184,0.7058824,17,7,5
2001_12_19,7,7.0892857,0.4159452,17,8,6
2001_12_27,5,5.4705473,0.69102,17,7,5
2002_01_01,4,3.8207328,0.38122,17,4,3
2002_01_09,7,7.0060297,0,17,7,7
2002_01_17,5,5,0,17,5,5
2002_01_25,7,7.1444805,0.2352941,17,8,7
2002_02_02,6,6.3167904,0.4241825,17,7,6
2002_02_10,7,7.0454545,0.2352941,17,7,6
2002_02_18,9,9.1697588,0.2352941,17,10,9
2002_02_26,9,9.018321,0.2352941,17,9,8
2002_03_06,9,9.1034323,0.2352941,17,10,9
2002_03_14,9,9.0762987,0.4159452,17,10,8
2002_03_22,0,0.1899351,0.38122,17,1,0
2002_03_30,11,10.6048237,1.0814574,17,12,9
2002_04_07,12,11.4529221,0.8360394,17,12,10
2002_04_15,18,18.6734694,2.1978284,17,23,16
2002_04_23,46,47.2288961,1.6533493,17,50,44
2002_05_01,54,55.7064007,6.3048287,17,66,45
2002_05_09,58,57.8195733,4.3250298,17,66,49
2002_05_17,55,55.6804267,3.7848725,17,64,49
2002_05_25,53,52.2233302,2.1724924,17,59,48
2002_06_02,57,57.9109462,7.5496053,17,68,44
2002_06_10,53,54.9849258,5.4040866,17,65,45
2002_06_18,54,53.1739332,8.2499869,17,66,24
2002_06_26,50,51.0090445,3.0086381,17,58,46
2002_07_04,66,57.3119202,14.2908493,17,70,24
2002_07_12,49,45.9056122,10.3409021,17,53,9
2002_07_20,21,31.3666512,18.8051381,17,70,12
2002_07_28,58,55.9798237,7.8294979,17,65,32
2002_08_05,54,53.8631725,2.9517457,17,58,47
2002_08_13,48,47.5271336,1.0910139,17,49,44
2002_08_21,55,55.4691558,9.5544334,17,67,21
2002_08_29,43,43.367115,1.2422772,17,48,43
2002_09_06,47,46.8102968,3.2315486,17,54,43
2002_09_14,43,30.093692,16.8520942,17,46,7
2002_09_22,45,43.9441095,11.5507006,17,70,23
2002_09_30,42,41.8856679,0.7848038,17,43,40
2002_10_08,13,17.5878942,14.9666295,17,44,3
2002_10_16,29,33.5890538,7.8361243,17,43,16
2002_10_24,1,7.4603432,16.1064796,17,70,1
2002_11_01,15,16.2365492,1.8111534,17,19,13
2002_11_09,11,10.7532468,1.6109487,17,12,6
2002_11_17,8,8.0742115,0.9982684,17,10,7
2002_11_25,7,7.2799165,0.38122,17,8,7
2002_12_03,5,5.1382189,0.3221897,17,6,5
2002_12_11,7,7.5918367,0.6960094,17,9,7
2002_12_19,8,8.1695269,1.1881771,17,10,6
2002_12_27,7,7.2272727,0.5823232,17,9,6
2003_01_01,6,6.4197588,0.5998846,17,7,5
2003_01_09,6,6.3824212,0.4778846,17,7,6
2003_01_17,6,6.3833488,0.5882353,17,7,5
2003_01_25,6,6.1384508,1.2310853,17,10,5
2003_02_02,7,6.7998609,0.4556451,17,7,6
2003_02_10,7,7.0487013,0.6859943,17,9,6
2003_02_18,8,7.8875232,1.4504504,17,9,5
2003_02_26,6,7.4431818,2.9009007,17,10,1
2003_03_06,9,9.2131262,0.3221897,17,10,9
2003_03_14,5,5.1099258,0.5823232,17,6,4
2003_03_22,9,9.2775974,0.69102,17,11,8
2003_03_30,12,11.9364564,0.4705882,17,13,11
2003_04_07,15,14.9696197,1.3669353,17,18,13
2003_04_15,23,24.7912801,7.4851641,17,51,19
2003_04_23,33,34.505334,7.8594928,17,48,22
2003_05_01,47,47.7411874,1.7783784,17,52,46
2003_05_09,47,47.3643321,2.8515764,17,52,43
2003_05_17,26,26.4399351,5.0996981,17,36,13
2003_05_25,48,49.7414193,4.3790947,17,64,42
2003_06_02,63,59.4021336,6.7889591,17,67,49
2003_06_10,50,46.2687848,6.5487261,17,52,30
2003_06_18,55,54.4603432,4.9285553,17,60,39
2003_06_26,50,50.872449,5.589164,17,61,41
2003_07_04,57.5,57.1665121,7.1460299,17,65,45
2003_07_12,46,44.5718924,10.085105,17,64,21
2003_07_20,51,49.2314471,13.8229036,17,66,9
2003_07_28,13,16.0920686,12.5849363,17,50,5
2003_08_05,55,41.796846,25.9982698,17,70,6
2003_08_13,24,31.971475,17.4048078,17,61,9
2003_08_21,49,50.0881262,4.4254689,17,66,47
2003_08_29,45,45.6806586,2.2948717,17,53,44
2003_09_06,47,47.5039425,1.214104,17,52,47
2003_09_14,44,43.9543135,4.3122101,17,49,27
2003_09_22,44,44.4663729,1.0256233,17,47,43
2003_09_30,41,38.0034787,5.9210492,17,44,25
2003_10_08,24,25.1799629,2.7490168,17,31,22
2003_10_16,20,21.0491651,1.8470963,17,24,18
2003_10_24,14,14.5048701,1.2394887,17,16,11
2003_11_01,11,10.3578386,1.4974026,17,13,8
2003_11_09,7,8.1546846,1.7861443,17,11,6
2003_11_17,9,8.7089518,0.922611,17,11,7
2003_11_25,8,7.9253247,0.8724939,17,10,7
2003_12_03,7,7.8200371,0.8764508,17,9,7
2003_12_11,7,6.5943878,0.6960094,17,7,5
2003_12_19,7,6.9856215,0.2352941,17,7,6
2003_12_27,8,7.9756494,0.8401681,17,9,7
2004_01_01,8,7.9111781,0.7578882,17,9,7
2004_01_09,7,7.2861781,0.6655123,17,9,7
2004_01_17,7,7.8858998,0.9411765,17,10,7
2004_01_25,6,6.1108534,0.3429972,17,7,5
2004_02_02,7,6.7119666,0.9557692,17,9,5
2004_02_10,5,5.2054731,0.3221897,17,6,5
2004_02_18,9,8.3191095,1.5429267,17,10,6
2004_02_26,9,9.3214286,0.4556451,17,10,9
2004_03_05,10,9.658859,0.4778846,17,10,9
2004_03_13,10,9.5023191,0.4991342,17,10,9
2004_03_21,9,9.2115028,1.0588235,17,12,8
2004_03_29,11,11.4007421,0.69102,17,13,10
2004_04_06,11,11.0229592,0.7252252,17,12,10
2004_04_14,12,12.1488868,0.7058824,17,14,11
2004_04_22,50,48.2608998,3.5655018,17,53,42
2004_04_30,49,51.0470779,4.5083544,17,65,46
2004_05_08,51,48.9392393,11.5354126,17,70,18
2004_05_16,52,46.5656308,10.408607,17,57,10
2004_05_24,54,54.1994434,4.8278317,17,66,46
2004_06_01,47,46.1532931,4.4121568,17,57,40
2004_06_09,9,10.8302412,4.7044115,17,20,7
2004_06_17,58,56.554731,5.2494851,17,66,47
2004_06_25,57,55.0718924,6.0120985,17,57,31
2004_07_03,56,57.307282,5.6070889,17,68,51
2004_07_11,52,53.5693414,2.3529412,17,61,52
2004_07_19,60,58.9264842,3.2624529,17,62,52
2004_07_27,42,37.4907236,18.8771296,17,70,9
2004_08_04,53,52.7701763,2.5842215,17,60,49
2004_08_12,50,48.8552876,10.1548563,17,70,16
2004_08_20,21,28.5533395,15.5883463,17,70,10
2004_08_28,11,17.7038497,21.0353139,17,68,4
2004_09_05,44,43.7541744,0.5703153,17,44,42
2004_09_13,47,43.3703618,11.9656371,17,54,13
2004_09_21,44,44.2847866,0.7759356,17,47,44
2004_09_29,44,43.9675325,0.9557692,17,47,42
2004_10_07,41,40.6110853,0.2352941,17,42,41
2004_10_15,33,32.1570037,7.567459,17,43,20
2004_10_23,3,2.8852041,1.5294118,17,6,1
2004_10_31,11,11.4081633,0.8442765,17,13,10
2004_11_08,10,9.9707792,0.8724939,17,11,9
2004_11_16,7,7.5108998,0.9150794,17,10,7
2004_11_24,7,7.2717996,0.8442765,17,9,6
2004_12_02,8,8.0814007,0.8564835,17,9,7
2004_12_10,7,7.156308,0.5128116,17,9,7
2004_12_18,7,7.6611781,0.7714634,17,9,7
2004_12_26,7,7.2912801,0.7299808,17,10,7
2005_01_01,7,7.2912801,0.7299808,17,10,7
2005_01_09,3,2.9626623,0.7848038,17,5,2
2005_01_17,7,6.987013,0.3221897,17,8,7
2005_01_25,5,5.2295918,0.6655123,17,7,5
2005_02_02,7,7.4441095,0.7714634,17,9,7
2005_02_10,7,7.3912338,0.7624401,17,9,6
2005_02_18,7,7.4561688,0.848365,17,9,7
2005_02_26,7,7.1727737,0.545507,17,9,7
2005_03_06,9,9.2282004,0.4705882,17,10,8
2005_03_14,8,8.1192022,0.6169464,17,9,7
2005_03_22,9,9.3311688,1.0878378,17,12,8
2005_03_30,9,8.916744,1.2588785,17,11,7
2005_04_07,13,12.6456401,1.0878378,17,14,9
2005_04_15,34,34.8119202,5.8434004,17,45,23
2005_04_23,45,43.7671614,2.3278069,17,47,36
2005_05_01,49,48.5213358,1.9562693,17,52,46
2005_05_09,57,54.5227273,10.6598883,17,67,16
2005_05_17,54,53.9814471,3.9275445,17,63,48
2005_05_25,52,47.6486549,9.3527562,17,53,26
2005_06_02,25,36.867115,21.0977294,17,70,4
2005_06_10,56,56.4515306,4.1934205,17,66,51
2005_06_18,53,50.5640074,13.4753395,17,64,14
2005_06_26,55,54.9294991,11.8873024,17,67,14
2005_07_04,56,54.6602505,3.4218917,17,59,50
2005_07_12,25,29.5500928,11.1854453,17,49,12
2005_07_20,57,56.0670223,5.4854321,17,65,48
2005_07_28,56,53.174397,10.6433208,17,68,22
2005_08_05,29,32.9032931,20.8686782,17,60,8
2005_08_13,58,58.1590909,4.8876654,17,64,46
2005_08_21,50,39.8404453,18.1176471,17,60,13
2005_08_29,50,49.6442486,7.0969558,17,60,23
2005_09_06,51,50.6398423,6.5624495,17,66,30
2005_09_14,46,45.8991187,2.1836131,17,49,38
2005_09_22,42,41.6108534,0.492153,17,42,41
2005_09_30,44,43.137987,7.078893,17,46,21
2005_10_08,42,40.4754174,6.1571125,17,42,19
2005_10_16,36,35.5134508,6.7843704,17,44,26
2005_10_24,28,28.4492115,5.8000119,17,43,19
2005_11_01,16,15.550324700000001,1.7666656,17,18,13
2005_11_09,11,10.4181354,0.7299808,17,11,9
2005_11_17,9,9.3128479,0.7487013,17,11,8
2005_11_25,9,8.7896568,0.6758309,17,10,7
2005_12_03,6,5.9835343,0.9701425,17,7,5
2005_12_11,5,5.3603896,0.6443795,17,7,5
2005_12_19,7,7.7711039,0.9665692,17,10,7
2005_12_27,7,7.0500928,0,17,7,7
2006_01_01,7,7.3849722,0.545507,17,9,7
2006_01_09,7,6.8135436,0.38122,17,7,6
2006_01_17,7,7.3378942,0.7624401,17,9,6
2006_01_25,7,7.0707328,0.4159452,17,8,6
2006_02_02,7,7.5848794,0.5998846,17,9,7
2006_02_10,8,7.9942022,0.4159452,17,9,7
2006_02_18,9,9.3205009,0.6443795,17,11,8
2006_02_26,9,8.9772727,0.5391266,17,10,8
2006_03_06,10,9.7622913,0.6655123,17,11,8
2006_03_14,10,10.2064007,0.7058824,17,12,9
2006_03_22,10,10.1651206,0.4159452,17,11,9
2006_03_30,11,11.5067254,0.9112902,17,14,10
2006_04_07,14,13.6194341,0.6056253,17,14,12
2006_04_15,28,31.0688776,5.9652976,17,45,22
2006_04_23,36,38.5762987,8.3516983,17,58,28
2006_05_01,50,49.2831633,2.4466629,17,54,45
2006_05_09,53,46.6651206,14.7451241,17,66,14
2006_05_17,56,57.1602505,3.5518892,17,63,53
2006_05_25,56,57.3596939,6.077356,17,69,48
2006_06_02,51,51.0637755,3.7692987,17,62,46
2006_06_10,52,48.1069109,11.8607842,17,55,18
2006_06_18,56,56.8156308,4.1452854,17,64,52
2006_06_26,63,61.5092764,6.4978037,17,68,45
2006_07_04,56,55.9596475,4.4519736,17,63,47
2006_07_12,19,25.0609926,14.0921338,17,50,12
2006_07_20,52,47.9536178,13.075506,17,56,8
2006_07_28,58,59.4737941,6.2635321,17,67,46
2006_08_05,9,11.1372913,8.7901329,17,46,6
2006_08_13,50,40.4471243,16.8627679,17,55,6
2006_08_21,51,50.078154,7.3409314,17,55,21
2006_08_29,50,49.3140074,3.6146568,17,57,45
2006_09_06,49,48.3102968,1.1646465,17,51,46
2006_09_14,45,45.6883117,1.4456713,17,51,45
2006_09_22,45,45.3232839,1.1496953,17,48,43
2006_09_30,44,43.8970315,0.8401681,17,46,43
2006_10_08,43,42.6115492,1.3770235,17,44,38
2006_10_16,20,21.1136364,5.620649,17,42,17
2006_10_24,11,15.6973562,7.7682701,17,34,10
2006_11_01,10,9.854128,1.0588235,17,12,8
2006_11_09,8,7.8993506,0.8401681,17,9,7
2006_11_17,7,7.6746289,1.1997693,17,11,7
2006_11_25,7,7.1558442,0.5128116,17,9,7
2006_12_03,7,7.6018089,0.8235294,17,9,7
2006_12_11,7,7.6314935,1.0154516,17,10,7
2006_12_19,6,5.7198516,0.4556451,17,6,5
2006_12_27,7,7.0589054,0,17,7,7
2007_01_01,7,7.1570037,0.2352941,17,8,7
2007_01_09,7,7.4659091,0.69102,17,9,7
2007_01_17,5,5.0503247,0.2352941,17,6,5
2007_01_25,7,7.5231911,0.69102,17,9,7
2007_02_02,7,6.9777365,0,17,7,7
2007_02_10,7,7.2852505,0.6809316,17,9,7
2007_02_18,7,7.635436,1.2338928,17,11,7
2007_02_26,10,9.6400742,0.8235294,17,12,9
2007_03_06,9,9.1284787,0.4159452,17,10,8
2007_03_14,9,8.9292672,0.7578882,17,10,8
2007_03_22,9,9.6813544,1.1646465,17,12,9
2007_03_30,12,14.1045918,2.9293881,17,18,10
2007_04_07,18,17.6630334,2.1484685,17,20,12
2007_04_15,22,22.9329777,6.4946078,17,46,17
2007_04_23,24,26.5429035,7.3201622,17,49,18
2007_05_01,48,47.6087662,1.2725475,17,49,44
2007_05_09,54,52.684833,7.4140986,17,65,43
2007_05_17,57,56.132885,5.6138731,17,66,45
2007_05_25,51,53.6739332,4.5632806,17,62,47
2007_06_02,55,54.5106679,5.6989042,17,62,44
2007_06_10,47,46.7569573,11.851445,17,70,13
2007_06_18,55,55.8993506,4.4519736,17,67,49
2007_06_26,59,60.2894249,4.4783215,17,67,52
2007_07_04,52,50.4190631,11.2132522,17,67,21
2007_07_12,46,43.6087662,6.2352941,17,50,28
2007_07_20,52,53.0582096,3.7921792,17,61,47
2007_07_28,54,51.7233302,15.2642242,17,64,13
2007_08_05,57,58.6762523,5.6648006,17,67,47
2007_08_13,57,48.1412338,17.7532101,17,64,17
2007_08_21,50,50.5616883,10.3077221,17,60,11
2007_08_29,47,47.4227737,1.0356951,17,49,45
2007_09_06,52,49.3754638,9.3049081,17,55,24
2007_09_14,46,45.1855288,6.8644816,17,53,20
2007_09_22,46,46.8571429,3.0970463,17,54,43
2007_09_30,45,40.9860853,11.070707,17,50,17
2007_10_08,43,42.3483302,4.8414302,17,44,23
2007_10_16,28,30.6600186,8.6576566,17,45,17
2007_10_24,20,21.3374304,2.8793502,17,26,18
2007_11_01,14,13.854128,1.3179621,17,17,11
2007_11_09,13,12.9580241,0.8764508,17,14,12
2007_11_17,9,9.0897495,0.2352941,17,10,9
2007_11_25,7,7.6245362,1.0878378,17,11,7
2007_12_03,7,7.2896568,0.5703153,17,9,7
2007_12_11,8,8.354128,0.6655123,17,9,7
2007_12_19,7,7.1542208,0.3221897,17,8,7
2007_12_27,8,7.8638683,0.7848038,17,9,7
2008_01_01,7,7.1920223,0.2352941,17,8,7
2008_01_09,8,8.1386827,0.7848038,17,9,7
2008_01_17,7,6.7323748,0.492153,17,7,6
2008_01_25,7,7.5579777,0.7759356,17,9,7
2008_02_02,6,6.0906772,0.7578882,17,7,5
2008_02_10,7,6.971243,0.4159452,17,8,6
2008_02_18,10,10.0011596,1.5429267,17,16,9
2008_02_26,10,10.0264378,0.2352941,17,10,9
2008_03_05,9,9.1338126,0.4705882,17,10,8
2008_03_13,10,9.7678571,0.7848038,17,12,9
2008_03_21,10,10.0563544,0.4705882,17,12,10
2008_03_29,0,0,0,17,0,0
2008_04_06,12,14.1764842,3.5392021,17,23,11
2008_04_14,17,16.4698516,1.288759,17,20,14
2008_04_22,45,45.8441558,1.845222,17,52,44
2008_04_30,55,53.8944805,6.0201507,17,66,43
2008_05_08,49,50.2184601,4.4449731,17,61,45
2008_05_16,52,52.2949907,2.655542,17,55,47
2008_05_24,55,54.9227737,3.6546411,17,60,49
2008_06_01,53,56.6813544,7.8972642,17,68,46
2008_06_09,55,54.8232839,8.8219606,17,68,29
2008_06_17,55,56.2142857,4.7541641,17,65,45
2008_06_25,52,52.898423,2.7211844,17,59,49
2008_07_03,55,55.5160019,4.2164614,17,65,50
2008_07_11,51,52.4366883,6.0281921,17,66,48
2008_07_19,60,51.3845083,16.4049111,17,65,19
2008_07_27,58,56.5858071,9.5699935,17,64,22
2008_08_04,49,49.4995362,1.6087993,17,55,48
2008_08_12,55,54.8211967,6.7813095,17,68,46
2008_08_20,18,21.6514378,10.2902514,17,48,11
2008_08_28,48,48.1345083,2.0223663,17,54,46
2008_09_05,13,14.6036642,0.766965,17,14,12
2008_09_13,25,31.2453618,13.8686373,17,49,9
2008_09_21,45,45.1992115,1.1823383,17,47,43
2008_09_29,44,43.523423,1.0814574,17,46,41
2008_10_07,43,42.2330705,3.8671717,17,43,30
2008_10_15,27,27.979128,4.625789,17,36,19
2008_10_23,20,21.1430891,2.545095,17,28,16
2008_10_31,14,14.3673469,2.5909077,17,20,11
2008_11_08,9,8.6922542,0.5703153,17,10,8
2008_11_16,7,7.2070965,0.545507,17,9,7
2008_11_24,8,7.8910019,0.899827,17,9,7
2008_12_02,7,7.3875232,1.0356951,17,10,6
2008_12_10,7,7.0776902,0.2352941,17,8,7
2008_12_18,5,5.5125232,1.1910857,17,9,4
2008_12_26,7,7.7012987,0.9843059,17,10,7
2009_01_01,7,6.5589054,0.892103,17,9,5
2009_01_09,7,7.2131262,0.5128116,17,9,7
2009_01_17,7,7.0064935,1.0555505,17,11,6
2009_01_25,7,7.4056122,0.6809316,17,9,7
2009_02_02,7,7.1852968,0.5128116,17,9,7
2009_02_10,7,7.4181354,0.5882353,17,9,7
2009_02_18,9,8.8849722,0.4850713,17,10,8
2009_02_26,9,9.0820965,0.4159452,17,10,8
2009_03_06,10,9.8961039,0.8401681,17,12,9
2009_03_14,10,10.3239796,0.4778846,17,11,10
2009_03_22,9,8.8367347,0.899827,17,12,8
2009_03_30,13,13.1767161,1.1496953,17,16,12
2009_04_07,15,15.1083024,1.69673,17,18,11
2009_04_15,18,17.9174397,1.3232026,17,21,16
2009_04_23,46,48.0735158,8.8548464,17,68,35
2009_05_01,42,38.4891002,21.5517403,17,70,11
2009_05_09,50,50.5802412,2.9517457,17,57,47
2009_05_17,58,53.695269,12.1803063,17,62,17
2009_05_25,53,42.7843228,13.5998168,17,56,11
2009_06_02,62,60.6324212,4.7766734,17,68,49
2009_06_10,20,21.3063544,14.74043,17,50,6
2009_06_18,48,40.7047774,22.3066083,17,68,10
2009_06_26,55,55.312616,3.3244403,17,61,50
2009_07_04,56,56.6625696,7.5500636,17,68,38
2009_07_12,55,53.9993043,10.857364,17,69,16
2009_07_20,52,50.2094156,8.8176451,17,66,24
2009_07_28,57,56.5426716,4.0284456,17,65,49
2009_08_05,57,57.8344156,4.405093,17,66,52
2009_08_13,19,28.2724954,19.6924449,17,66,10
2009_08_21,9,8.8339518,1.5248802,17,11,6
2009_08_29,48,47.3747681,8.2613035,17,58,20
2009_09_06,49,48.1340445,2.9704426,17,52,42
2009_09_14,20,22.0354824,7.1037784,17,49,17
2009_09_22,44,44.0412801,1.6259147,17,48,40
2009_09_30,41,40.3666512,4.7519801,17,42,24
2009_10_08,32,33.5150742,6.5249057,17,41,20
2009_10_16,25,26.0524119,3.8992502,17,35,19
2009_10_24,13,12.2592764,3.1710193,17,16,7
2009_11_01,11,10.2247217,0.892103,17,11,9
2009_11_09,8,7.9294991,0.7578882,17,9,7
2009_11_17,4,3.8981911,0.2352941,17,4,3
2009_11_25,7,7.3863636,0.9112902,17,9,7
2009_12_03,7,6.6653525,0.6655123,17,7,5
2009_12_11,7,7.0433673,0.5940885,17,8,5
2009_12_19,7,7.7935993,1.0289915,17,10,7
2009_12_27,7,6.9942022,0,17,7,7
2010_01_01,7,7.7224026,0.8318903,17,9,7
2010_01_09,7,7.1852968,0.5823232,17,8,6
2010_01_17,7,7.1750928,0.3221897,17,8,7
2010_01_25,7,6.9617347,0.3429972,17,8,6
2010_02_02,7,6.2537106,1.8805138,17,9,3
2010_02_10,7,7.1989796,1.1852613,17,11,6
2010_02_18,7,7.375,0.4778846,17,8,7
2010_02_26,9,9.0705009,0.6389871,17,11,8
2010_03_06,10,9.9800557,0.9982684,17,13,9
2010_03_14,10,9.8049629,0.6169464,17,11,9
2010_03_22,10,10.0793135,1.3945023,17,14,9
2010_03_30,14,14.4072356,0.7714634,17,16,13
2010_04_07,37,38.1565399,8.0362501,17,50,23
2010_04_15,25,25.9012059,4.1511244,17,40,20
2010_04_23,43,42.7590445,4.6793369,17,45,24
2010_05_01,51,51.5405844,10.5885621,17,70,21
2010_05_09,46,45.5044063,4.7990772,17,51,35
2010_05_17,51,47.8608534,11.5222066,17,61,19
2010_05_25,47,47.6076067,11.3607105,17,70,28
2010_06_02,62,60.1386827,5.1389011,17,66,50
2010_06_10,58,58.5120594,5.2481666,17,68,50
2010_06_18,54,56.4633581,6.1351559,17,68,49
2010_06_26,39,41.9362245,15.3708482,17,68,20
2010_07_04,50,48.0278293,5.8964537,17,53,26
2010_07_12,51,46.900974,11.869533,17,70,27
2010_07_20,58,55.3075139,7.4192306,17,64,44
2010_07_28,20,30.9744898,22.0413264,17,69,10
2010_08_05,45,39.6825139,11.9560904,17,57,20
2010_08_13,52,52.1938776,2.0034572,17,58,50
2010_08_21,47,47.5858071,1.7190164000000001,17,53,46
2010_08_29,50,51.4074675,5.9629769,17,66,43
2010_09_06,47,48.4793599,8.6023253,17,63,33
2010_09_14,47,45.8847403,6.9625792,17,55,24
2010_09_22,37,36.0166976,8.8419416,17,46,13
2010_09_30,43,38.3819573,6.8468162,17,44,18
2010_10_08,30,32.1595547,8.3238932,17,43,16
2010_10_16,27,27.7961503,4.6115546,17,35,19
2010_10_24,16,15.6869202,2.1355453,17,19,10
2010_11_01,12,12.2820037,0.5823232,17,13,11
2010_11_09,9,9.6528293,0.7714634,17,11,9
2010_11_17,9,9.1488868,0.4705882,17,10,8
2010_11_25,7,6.4390074,0.6056253,17,7,5
2010_12_03,7,7.375,0.69102,17,9,7
2010_12_11,6,6.3147032,0.7759356,17,8,5
2010_12_19,7,7.6906308,0.8764508,17,9,7
2010_12_27,7,6.369666,0.7487013,17,7,5
2011_01_01,7,7.2351577,0.5128116,17,9,7
2011_01_09,7,7.065167,0.3429972,17,8,6
2011_01_17,5,5.0980983,0.2352941,17,6,5
2011_01_25,7,7.2961503,0.545507,17,9,7
2011_02_02,7,7.0169295,0.2352941,17,8,7
2011_02_10,7,7.4146568,0.5703153,17,8,6
2011_02_18,9,9.492115,0.7759356,17,11,9
2011_02_26,9,9.1096939,0.4705882,17,10,8
2011_03_06,9,9.5716605,0.7714634,17,12,9
2011_03_14,9,9.2810761,0.4556451,17,10,9
2011_03_22,9,8.8276902,0.38122,17,9,8
2011_03_30,12,12.1185065,1.0718157,17,14,11
2011_04_07,16,15.8179499,1.0289915,17,19,15
2011_04_15,23,22.8912338,2.0017294,17,26,18
2011_04_23,45,37.8974954,11.3859623,17,50,19
2011_05_01,47,46.7820037,3.8483358,17,49,33
2011_05_09,44,43.8956401,3.1458216,17,47,32
2011_05_17,54,53.8077458,3.1524144,17,58,48
2011_05_25,56,56.8731447,5.801205,17,68,50
2011_06_02,60,59.6451763,5.2639664,17,68,50
2011_06_10,46,45.9842301,12.7189475,17,67,28
